"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"03/01/2024","AQS","260050003","1","0.037","ppm","34","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"03/02/2024","AQS","260050003","1","0.041","ppm","38","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"03/03/2024","AQS","260050003","1","0.043","ppm","40","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"03/04/2024","AQS","260050003","1","0.032","ppm","30","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"03/05/2024","AQS","260050003","1","0.033","ppm","31","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"03/06/2024","AQS","260050003","1","0.037","ppm","34","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"03/07/2024","AQS","260050003","1","0.029","ppm","27","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"03/08/2024","AQS","260050003","1","0.03","ppm","28","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"03/09/2024","AQS","260050003","1","0.039","ppm","36","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"03/10/2024","AQS","260050003","1","0.042","ppm","39","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"03/11/2024","AQS","260050003","1","0.048","ppm","44","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"03/12/2024","AQS","260050003","1","0.053","ppm","49","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"03/13/2024","AQS","260050003","1","0.047","ppm","44","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"03/14/2024","AQS","260050003","1","0.039","ppm","36","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"03/15/2024","AQS","260050003","1","0.039","ppm","36","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"03/16/2024","AQS","260050003","1","0.037","ppm","34","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"03/17/2024","AQS","260050003","1","0.038","ppm","35","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"03/18/2024","AQS","260050003","1","0.039","ppm","36","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"03/19/2024","AQS","260050003","1","0.035","ppm","32","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"03/20/2024","AQS","260050003","1","0.039","ppm","36","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"03/21/2024","AQS","260050003","1","0.037","ppm","34","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"03/22/2024","AQS","260050003","1","0.032","ppm","30","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"03/23/2024","AQS","260050003","1","0.044","ppm","41","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
