"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","EMNT","EMXT","HDSD","TAVG","TMAX","TMIN"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","1990-07","63.2","6.1","30.0","65.0","17.5","22.5","12.5"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","1990-08","105.5","7.8","30.0","116.9","18.0","23.2","12.8"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","1990-09","113.2","2.8","28.3","275.7","13.3","18.2","8.4"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","1990-10","113.2","-2.2","20.6","620.3","7.2","12.3","2.1"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","1990-11","113.2","-6.7","20.6","1086.7","2.8","6.6","-1.0"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","1990-12","113.2","-25.0","8.9","1825.7","-5.5","-1.7","-9.3"
"USC00206020","NOTTAWA 3 SE, MI US","41.88333","-85.41667","262.1","1990-07",,,,,,,
"USC00206020","NOTTAWA 3 SE, MI US","41.88333","-85.41667","262.1","1990-08",,,,,,,
"USC00206020","NOTTAWA 3 SE, MI US","41.88333","-85.41667","262.1","1990-09",,,,,,,
"USC00206020","NOTTAWA 3 SE, MI US","41.88333","-85.41667","262.1","1990-10",,,,,,,
"USC00206020","NOTTAWA 3 SE, MI US","41.88333","-85.41667","262.1","1990-11",,,,,,,
"USC00206020","NOTTAWA 3 SE, MI US","41.88333","-85.41667","262.1","1990-12",,,,,,,
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","1990-07","80.3","3.9","32.8","32.0","18.9","25.6","12.2"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","1990-08","106.4","4.4","30.0","73.2","17.9","24.1","11.6"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","1990-09","122.2","-3.3","30.0","239.0","13.3","20.4","6.2"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","1990-10","122.2","-7.8","23.3","606.6","6.0","12.3","-0.3"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","1990-11","122.2","-7.8","22.8","1057.0","2.9","7.9","-2.1"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","1990-12","122.2","-23.3","11.1","1760.9","-4.4","0.1","-8.8"
"USC00205452","MILFORD GM PROVING GROUND, MI US","42.5794","-83.6844","295.7","1990-07","160.8","8.3","35.0","9.2","20.9","26.5","15.3"
"USC00205452","MILFORD GM PROVING GROUND, MI US","42.5794","-83.6844","295.7","1990-08","238.3","7.8","33.3","18.1","20.6","26.3","14.8"
"USC00205452","MILFORD GM PROVING GROUND, MI US","42.5794","-83.6844","295.7","1990-09","261.1","1.1","28.9","119.0","15.6","21.0","10.3"
"USC00205452","MILFORD GM PROVING GROUND, MI US","42.5794","-83.6844","295.7","1990-10","265.9","-4.4","27.8","384.0","9.9","15.6","4.2"
"USC00205452","MILFORD GM PROVING GROUND, MI US","42.5794","-83.6844","295.7","1990-11","265.9","-6.1","23.3","772.1","5.4","10.7","0.1"
"USC00205452","MILFORD GM PROVING GROUND, MI US","42.5794","-83.6844","295.7","1990-12","265.9","-20.6","11.7","1326.6","-1.4","3.1","-5.9"
"USC00204363","KEWADIN 5 NNE, MI US","44.98333","-85.35","221.0","1990-08",,"8.3","31.7",,"20.1","25.5","14.6"
"USC00204363","KEWADIN 5 NNE, MI US","44.98333","-85.35","221.0","1990-09",,,"29.4",,,"21.4",
"USC00204363","KEWADIN 5 NNE, MI US","44.98333","-85.35","221.0","1990-10",,"-1.7","24.4",,"8.4","12.8","4.0"
"USC00208680","WATERSMEET, MI US","46.2778","-89.1742","484.6","1990-07",,"1.7","33.9","46.2","18.2","25.4","11.0"
"USC00208680","WATERSMEET, MI US","46.2778","-89.1742","484.6","1990-08",,"0.6","29.4","96.4","17.4","24.8","10.0"
"USC00208680","WATERSMEET, MI US","46.2778","-89.1742","484.6","1990-09",,"-1.7","28.3","258.1","12.9","19.1","6.7"
"USC00208680","WATERSMEET, MI US","46.2778","-89.1742","484.6","1990-10",,"-7.8","22.2","639.6","5.2","11.2","-0.7"
"USC00208680","WATERSMEET, MI US","46.2778","-89.1742","484.6","1990-11",,"-10.0","21.7","1118.1","1.2","5.9","-3.5"
"USC00208680","WATERSMEET, MI US","46.2778","-89.1742","484.6","1990-12",,"-31.7","7.8","1812.4","-8.3","-3.9","-12.7"
"USC00205450","MILAN 4 ESE, MI US","42.06639","-83.61861","204.2","1990-07","188.8","7.2","37.8","4.1","21.8","28.7","14.8"
"USC00205450","MILAN 4 ESE, MI US","42.06639","-83.61861","204.2","1990-08","250.2","6.7","33.9","12.4","20.1","26.7","13.5"
"USC00205450","MILAN 4 ESE, MI US","42.06639","-83.61861","204.2","1990-09","281.3","0.6","33.3","79.2","17.0","23.8","10.1"
"USC00205450","MILAN 4 ESE, MI US","42.06639","-83.61861","204.2","1990-10","288.8","-5.6","30.0","294.2","10.8","18.8","2.9"
"USC00205450","MILAN 4 ESE, MI US","42.06639","-83.61861","204.2","1990-11","288.8","-7.2","23.9","647.4","5.8","11.7","-0.1"
"USC00205450","MILAN 4 ESE, MI US","42.06639","-83.61861","204.2","1990-12","288.8","-20.6","12.8","1157.2","-0.1","4.9","-5.1"
"USC00201492","CHEBOYGAN, MI US","45.65225","-84.47239","177.4","1990-07","63.3","7.8","31.7","21.1","19.2","24.6","13.9"
"USC00201492","CHEBOYGAN, MI US","45.65225","-84.47239","177.4","1990-08","106.6","9.4","28.9","44.5","19.0","24.2","13.7"
"USC00201492","CHEBOYGAN, MI US","45.65225","-84.47239","177.4","1990-09","121.1","2.2","30.0","179.7","14.2","19.5","9.0"
"USC00201492","CHEBOYGAN, MI US","45.65225","-84.47239","177.4","1990-10","121.1","-6.1","22.8","516.9","7.1","12.6","1.6"
"USC00201492","CHEBOYGAN, MI US","45.65225","-84.47239","177.4","1990-11","121.1","-5.6","21.1","896.6","4.0","8.4","-0.3"
"USC00201492","CHEBOYGAN, MI US","45.65225","-84.47239","177.4","1990-12","121.1","-24.4","10.6","1569.8","-4.1","0.4","-8.6"
"USC00207350","SANDUSKY, MI US","43.4194","-82.8191","235.9","1990-11",,"-6.1","23.9",,"5.4","10.9","0.0"
"USC00207350","SANDUSKY, MI US","43.4194","-82.8191","235.9","1990-12",,,"11.7",,,"2.6",
"USC00208043","TAHQUAMENON FALLS S P, MI US","46.6013","-85.2238","227.1","1990-07",,"2.2","29.4","67.3","16.9","24.3","9.4"
"USC00208043","TAHQUAMENON FALLS S P, MI US","46.6013","-85.2238","227.1","1990-08",,"2.8","28.3","139.2","16.5","23.6","9.5"
"USC00208043","TAHQUAMENON FALLS S P, MI US","46.6013","-85.2238","227.1","1990-09",,"-3.3","28.3",,"12.4","18.3","6.6"
"USC00208043","TAHQUAMENON FALLS S P, MI US","46.6013","-85.2238","227.1","1990-10",,"-7.8","18.3",,"5.1","10.7","-0.5"
"USC00208043","TAHQUAMENON FALLS S P, MI US","46.6013","-85.2238","227.1","1990-11",,"-11.7","21.1",,"0.8","5.2","-3.7"
"USC00208043","TAHQUAMENON FALLS S P, MI US","46.6013","-85.2238","227.1","1990-12",,"-22.2",,,,,"-10.5"
"USC00207190","RUDYARD 4 N, MI US","46.2963","-84.5761","229.5","1990-07",,"3.9","30.6","30.3","18.7","25.8","11.6"
