"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","1970-01","0","0","-11",",0,22,","35",",0,31,",,,"14.8",",0","22.5",",,,0","7.1",",,,0"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","1970-02","0","0","-20","2,0,14,+","44",",0,23,",,,"12.9","2,0","25.0",",,,0","0.8","2,,,0"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","1970-03","0","0","-7",",0,29,","46",",0,22,",,,"19.5",",0","31.4",",,,0","7.6",",,,0"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","1970-04","0","0","14",",0,11,+","80",",0,28,",,,"38.5",",0","49.1",",,,0","27.8",",,,0"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","1970-05","1","0","24",",0,05,","83",",0,21,",,,"46.7",",0","55.6",",,,0","37.8",",,,0"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","1970-06","49","0","31",",0,19,+","93",",0,29,",,,"59.0",",0","71.7",",,,0","46.2",",,,0"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","1970-01","0","0","-26",",0,21,","35",",0,29,","4831","0","12.1",",0","20.6",",,,0","3.7",",,,0"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","1970-02","0","0","-24",",0,04,","42",",0,02,","6213","0","15.7",",0","26.5",",,,0","4.7",",,,0"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","1970-03","0","0","-12",",0,29,","49",",0,20,","7488","0","23.8",",0","35.3",",,,0","12.4",",,,0"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","1970-04","9","0","11","1,0,05,+","87",",0,30,","8141","0","43.2","1,0","56.1",",,,0","30.2","1,,,0"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","1970-05","31","0","22",",0,06,","87","2,0,22,","8431","0","55.6","2,0","68.4","2,,,0","42.9",",,,0"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","1970-06","122","0","30","1,0,20,","92","1,0,30,","8539","0","64.4","1,0","79.0","1,,,0","49.7","1,,,0"
"USC00209014","WILLIS 5 SSW, MI US","42.08333","-83.58333","201.2","1970-01","0","0","-17",",0,24,","48",",0,28,","4271","0","14.9",",0","24.7",",,,0","5.1",",,,0"
"USC00209014","WILLIS 5 SSW, MI US","42.08333","-83.58333","201.2","1970-02","0","0","-11",",0,13,","52",",0,24,","5437","0","23.4",",0","33.0",",,,0","13.8",",,,0"
"USC00209014","WILLIS 5 SSW, MI US","42.08333","-83.58333","201.2","1970-03","0","0","11",",0,16,+","53",",0,21,","6481","0","31.3",",0","39.9",",,,0","22.7",",,,0"
"USC00209014","WILLIS 5 SSW, MI US","42.08333","-83.58333","201.2","1970-04","12","0","21",",0,11,","84",",0,30,","7010","0","47.7",",0","58.4",",,,0","37.1",",,,0"
"USC00209014","WILLIS 5 SSW, MI US","42.08333","-83.58333","201.2","1970-05","49","0","27",",0,07,","85",",0,22,","7216","0","59.6",",0","70.9",",,,0","48.2",",,,0"
"USC00209014","WILLIS 5 SSW, MI US","42.08333","-83.58333","201.2","1970-06","166","0","39",",0,20,","93",",0,30,","7288","0","66.5",",0","78.0",",,,0","54.9",",,,0"
"USC00208167","THOMPSONVILLE, MI US","44.51667","-85.93333","242.3","1970-01",,,,,,,,,,,,,,
