"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","EMNT","EMXT","HDSD","TAVG","TMAX","TMIN"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2010-01","0.0","-16.1","3.3","2600.5","-6.4","-3.7","-9.1"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2010-02","0.0","-15.0","0.6","3259.8","-5.2","-2.3","-8.1"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2010-03","0.0","-11.1","12.8","3797.1","1.0","5.4","-3.4"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2010-04","0.0","-3.3","26.1","4136.6","7.0","12.1","1.9"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2010-05","19.5","-1.7","32.2","4330.3","12.7","18.3","7.2"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2010-06","27.1","5.0","27.8","4447.2","14.7","18.4","10.9"
"USC00203270","GLADSTONE NUMBER 2, MI US","45.8433","-87.0391","218.5","2010-01",,,,,,,
"USC00203270","GLADSTONE NUMBER 2, MI US","45.8433","-87.0391","218.5","2010-02",,,,,,,
"USC00203270","GLADSTONE NUMBER 2, MI US","45.8433","-87.0391","218.5","2010-03",,,,,,,
"USC00203270","GLADSTONE NUMBER 2, MI US","45.8433","-87.0391","218.5","2010-04",,,,,,,
"USC00203270","GLADSTONE NUMBER 2, MI US","45.8433","-87.0391","218.5","2010-05",,,,,,,
"USC00203270","GLADSTONE NUMBER 2, MI US","45.8433","-87.0391","218.5","2010-06",,,,,,,
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","2010-01","0.0","-20.0","5.6","2544.2","-6.7","-2.8","-10.6"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","2010-02","0.0","-20.0","4.4","3240.2","-6.5","-1.9","-11.2"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","2010-03","0.0","-14.4","17.8","3716.5","2.1","9.8","-5.6"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","2010-05",,"-5.0","32.8",,"14.0","21.7","6.2"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","2010-06",,"2.8","28.3",,"17.3","23.3","11.3"
