county,peninsula,# stations,# total months
Alcona,lower,2,129
Alger,upper,5,400
Allegan,lower,1,58
Alpena,lower,2,233
Antrim,lower,0,0
Arenac,lower,1,105
Baraga,upper,4,300
Barry,lower,1,118
Bay,lower,3,220
Benzie,lower,3,235
Berrien,lower,4,290
Branch,lower,1,119
Calhoun,lower,2,171
Cass,lower,1,116
Charlevoix,lower,5,431
Cheboygan,lower,1,120
Chippewa,upper,9,647
Clare,lower,0,0
Clinton,lower,2,202
Crawford,lower,1,117
Delta,upper,3,129
Dickinson,upper,2,156
Eaton,lower,1,89
Emmet,lower,4,379
Genesee,lower,5,331
Gladwin,lower,1,108
Gogebic,upper,3,200
GrandTraverse,lower,4,251
Gratiot,lower,1,93
Hillsdale,lower,1,114
Houghton,upper,2,155
Huron,lower,4,372
Ingham,lower,1,71
Ionia,lower,1,67
Iosco,lower,2,226
Iron,upper,2,191
Isabella,lower,1,93
Jackson,lower,1,119
Kalamazoo,lower,2,148
Kalkaska,lower,2,126
Kent,lower,1,120
Keweenaw,upper,3,172
Lake,lower,2,115
Lapeer,lower,2,166
Leelanau,lower,3,229
Lenawee,lower,5,321
Livingston,lower,0,0
Luce,upper,2,138
Mackinac,upper,3,155
Macomb,lower,2,177
Manistee,lower,2,143
Marquette,upper,6,492
Mason,lower,1,72
Mecosta,lower,1,117
Menominee,upper,1,68
Midland,lower,1,110
Missaukee,lower,1,120
Monroe,lower,5,259
Montcalm,lower,1,108
Montmorency,lower,2,114
Muskegon,lower,2,231
Newaygo,lower,1,42
Oakland,lower,5,351
Oceana,lower,2,170
Ogemaw,lower,2,221
Ontonagon,upper,3,217
Osceola,lower,0,0
Oscoda,lower,3,177
Otsego,lower,4,403
Ottawa,lower,3,192
PresqueIsle,lower,2,167
Roscommon,lower,2,222
Saginaw,lower,2,105
SaintClair,lower,2,123
SaintJoseph,lower,1,119
Sanilac,lower,2,94
Schoolcraft,upper,4,274
Shiawassee,lower,2,161
Tuscola,lower,3,218
VanBuren,lower,2,173
Washtenaw,lower,7,459
Wayne,lower,6,519
Wexford,lower,2,153
