,2025,2020,2015,2010,2005,2000,1995,1990,1980,1970
Alcona,"10,556",10167,10330,10942,11489,11719,10538,10145,"9,740","7,113"
Alger,"8,641",8842,9255,9601,9535,9862,9936,8972,"9,225","8,568"
Allegan,"123,188",120502,114112,111408,111985,105665,97412,90509,"81,555","66,575"
Alpena,"28,853",28907,28722,29598,30135,31314,30649,30605,"32,315","30,708"
Antrim,"24,698",23431,23035,23580,24198,23110,20155,18185,"16,194","12,612"
Arenac,"15,068",15002,15307,15899,16955,17269,16137,14906,"14,706","11,149"
Baraga,"8,169",8158,8585,8860,8687,8746,8483,7954,"8,484","7,789"
Barry,"63,991",62423,59426,59173,58976,56755,52882,50057,"45,781","38,166"
Bay,"102,123",103856,105237,107771,108673,110157,111219,111723,"119,881","117,339"
Benzie,"18,568",17970,17390,17525,17439,15998,13710,12200,"11,205","8,593"
Berrien,"152,444",154316,155022,156813,160467,162453,161546,161378,"171,276","163,940"
Branch,"45,993",44862,43639,45248,46356,45787,42759,41502,"40,188","37,906"
Calhoun,"133,408",134310,134327,136146,138289,137985,139287,135982,"141,579","141,963"
Cass,"51,677",51589,51342,52293,50909,51104,49546,49477,"49,499","43,312"
Charlevoix,"26,036",26054,26210,25949,26286,26090,23487,21468,"19,907","16,541"
Cheboygan,"25,793",25579,25399,26152,27061,26448,22716,21398,"20,649","16,573"
Chippewa,"36,081",36785,37973,38520,38605,38543,36788,34604,"29,029","32,412"
Clare,"31,543",30856,30616,30926,31212,31252,27989,24952,"23,822","16,695"
Clinton,"80,432",79128,77009,75382,68818,64753,61609,57893,"55,893","48,492"
Crawford,"13,722",12988,13853,14074,14732,14273,13568,12260,"9,465","6,482"
Delta,"36,582",36903,36415,37069,37823,38520,38742,37780,"38,947","35,924"
Dickinson,"25,827",25947,25661,26168,27219,27472,27133,26831,"25,341","23,753"
Eaton,"109,581",109175,108661,107759,107237,103655,98570,92879,"88,337","68,892"
Emmet,"33,775",34112,32924,32694,33298,31437,27360,25040,"22,992","18,331"
Genesee,"401,093",406211,410461,425790,439050,436141,433930,430459,"450,449","445,589"
Gladwin,"26,077",25386,25227,25692,26748,26023,24130,21896,"19,957","13,471"
Gogebic,"14,285",14380,15536,16427,16558,17370,17803,18052,"19,686","20,676"
GrandTraverse,"96,729",95238,91541,86986,83415,77654,70671,64273,"54,899","39,175"
Gratiot,"41,190",41761,41331,42476,42166,42285,39935,38982,"40,448","39,246"
Hillsdale,"45,738",45746,45883,46688,46818,46527,45288,43431,"42,071","37,171"
Houghton,"37,842",37361,36228,36628,35514,36016,35977,35446,"37,872","34,652"
Huron,"30,530",31407,31763,33118,34072,36079,35235,34951,"36,459","34,083"
Ingham,"289,709",284900,287096,280895,280354,279320,284929,281912,"275,520","261,039"
Ionia,"66,557",66804,64056,63905,63878,61518,64394,57024,"51,815","45,848"
Iosco,"25,266",25237,25343,25887,26530,27339,24988,30209,"28,349","24,905"
Iron,"11,757",11631,11320,11817,12158,13138,13154,13175,"13,635","13,813"
Isabella,"64,691",64394,70767,70311,66164,63351,56789,54624,"54,110","44,594"
Jackson,"159,552",160366,159264,160248,162561,158422,153414,149756,"151,495","143,274"
Kalamazoo,"263,795",261670,259676,250331,242419,238603,228122,223411,"212,378","201,550"
Kalkaska,"18,693",17939,17248,17153,17110,16571,14917,13497,"10,952","5,372"
Kent,"675,232",657974,637164,602622,595339,574335,530818,500631,"444,506","411,044"
Keweenaw,"2,186",2046,2123,2156,2116,2301,1953,1701,"1,963","2,264"
Lake,"13,182",12096,11697,11539,11663,11333,9581,8583,"7,711","5,661"
Lapeer,"89,516",88619,88368,88319,92337,87904,83505,74768,"70,038","52,361"
Leelanau,"22,982",22301,21633,21708,21847,21119,18207,16527,"14,007","10,872"
