station name,latitude,longitude,county,peninsula,# months
"HARRISVILLE STATE PARK, MI US",44.64975,-83.29585,Alcona,lower,82
"GLENNIE 2 SE, MI US",44.5358,-83.7022,Alcona,lower,47
"MUNISING, MI US",46.4121,-86.6625,Alger,upper,115
"CHATHAM EXPERIMENT FARM 2, MI US",46.3414,-86.9242,Alger,upper,96
"GRAND MARAIS, MI US",46.66667,-85.95,Alger,upper,69
"CHATHAM 1 SE, MI US",46.3345,-86.92,Alger,upper,60
"MUNSING LAKESHORE, MI US",46.412036,-86.650452,Alger,upper,60
"ALLEGAN 5 NE, MI US",42.5799,-85.7893,Allegan,lower,58
"ALPENA CO REGIONAL AIRPORT, MI US",45.0716,-83.56451,Alpena,lower,120
"ALPENA WASTEWATER PLANT, MI US",45.0605,-83.428,Alpena,lower,113
"STANDISH 4 NE, MI US",44.0126,-83.8977,Arenac,lower,105
"HERMAN, MI US",46.6653,-88.3772,Baraga,upper,115
"ALBERTA FORD FOR CENTER, MI US",46.6448,-88.4812,Baraga,upper,89
"WATTON 2 WSW, MI US",46.52664,-88.64243,Baraga,upper,54
"BARAGA 7 NW, MI US",46.8208,-88.6064,Baraga,upper,42
"HASTINGS, MI US",42.64208,-85.28819,Barry,lower,118
"SAGINAW MBS INTERNATIONAL AIRPORT, MI US",43.52808,-84.08133,Bay,lower,120
"ESSEXVILLE, MI US",43.6155,-83.845,Bay,lower,59
"AUBURN 2 NE, MI US",43.6252,-84.0188,Bay,lower,41
"FRANKFORT 2 NE, MI US",44.64822,-86.20986,Benzie,lower,115
"BEAR MICHIGAN, MI US",44.8019,-86.0508,Benzie,lower,60
"BEULAH 7 SSW, MI US",44.5316,-86.1311,Benzie,lower,60
"BENTON HARBOR AIRPORT, MI US",42.1245,-86.4266,Berrien,lower,88
"EAU CLAIRE 4 NE, MI US",42.0153,-86.243,Berrien,lower,84
"BENTON HARBOR, MI US",42.12894,-86.41518,Berrien,lower,70
"NILES, MI US",41.8405,-86.2658,Berrien,lower,48
"COLDWATER ST SCHOOL, MI US",41.9622,-84.9925,Branch,lower,119
"BATTLE CREEK 5 NW, MI US",42.3678,-85.2634,Calhoun,lower,102
"BATTLE CREEK KELLOGG AIRPORT, MI US",42.31192,-85.24147,Calhoun,lower,69
"DOWAGIAC 1 W, MI US",41.9856,-86.132,Cass,lower,116
"BOYNE FALLS, MI US",45.1672,-84.9138,Charlevoix,lower,120
"BEAVER ISLAND, MI US",45.6911,-85.5463,Charlevoix,lower,110
"EAST JORDAN, MI US",45.15179,-85.1324,Charlevoix,lower,93
"CHARLEVOIX, MI US",45.3172,-85.2672,Charlevoix,lower,72
"EAST JORDAN 2 NW, MI US",45.1863,-85.1477,Charlevoix,lower,36
"CHEBOYGAN, MI US",45.65225,-84.47239,Cheboygan,lower,120
"SAULT STE MARIE SANDERSON FIELD, MI US",46.47998,-84.35809,Chippewa,upper,120
"TAHQUAMENON FALLS S P, MI US",46.6013,-85.2238,Chippewa,upper,108
"SAULT STE MARIE, MI US",46.48913,-84.31932,Chippewa,upper,72
"DETOUR VILLAGE, MI US",45.9983,-83.9013,Chippewa,upper,71
"TROUT LAKE 1 SW, MI US",46.1796,-85.0311,Chippewa,upper,67
"WHITEFISH POINT, MI US",46.7475,-84.9857,Chippewa,upper,62
"RACO MICHIGAN, MI US",46.25,-84.5833,Chippewa,upper,59
"RUDYARD 4 N, MI US",46.2963,-84.5761,Chippewa,upper,46
"PICKFORD 3 NE, MI US",46.1863,-84.3238,Chippewa,upper,42
"LANSING CAPITAL CITY AIRPORT, MI US",42.77609,-84.59972,Clinton,lower,120
"SAINT JOHNS, MI US",43.0128,-84.5547,Clinton,lower,82
"GRAYLING, MI US",44.64536,-84.69921,Crawford,lower,117
"FAYETTE 4 SW, MI US",45.66667,-86.71667,Delta,upper,47
"CORNELL 5 SE, MI US",45.8269,-87.1589,Delta,upper,46
"GARDEN CORNERS, MI US",45.8983,-86.5485,Delta,upper,36
"IRON MTN KINGSFORD WWTP, MI US",45.7858,-88.0841,Dickinson,upper,84
"IRON MOUNTAIN FORD AIRPORT, MI US",45.81339,-88.11292,Dickinson,upper,72
"CHARLOTTE, MI US",42.5499,-84.825,Eaton,lower,89
"PELLSTON REGIONAL AIRPORT, MI US",45.5644,-84.79291,Emmet,lower,120
"PETOSKEY, MI US",45.3725,-84.9766,Emmet,lower,108
"CROSS VILLAGE 1 E, MI US",45.6413,-85.0141,Emmet,lower,103
"PETOSKEY NCMC, MI US",45.3613,-84.9512,Emmet,lower,48
"FLINT FCWOS, MI US",42.96684,-83.74996,Genesee,lower,120
"GOODRICH, MI US",42.9163,-83.5097,Genesee,lower,60
"FLINT 7 W, MI US",43.0377,-83.7694,Genesee,lower,55
