station,name,county,latitude,longitude,elevation,year,month,cdsd,emnt,emxt,hdsd,tavg,tmax,tmin
USC00203188,"GLENNIE 2 SE, MI US",Alcona,44.5358,-83.7022,272.5,2010,1,0,-20.6,5,2561.9,-6.7,-2.7,-10.7
USC00203188,"GLENNIE 2 SE, MI US",Alcona,44.5358,-83.7022,272.5,2010,2,0,-15,4.4,3234.4,-5.7,-0.9,-10.4
USC00203188,"GLENNIE 2 SE, MI US",Alcona,44.5358,-83.7022,272.5,2010,3,0,-11.1,18.3,3732.3,2.3,9.2,-4.6
USC00203188,"GLENNIE 2 SE, MI US",Alcona,44.5358,-83.7022,272.5,2010,4,0.6,-6.1,27.8,4032.7,8,15.9,0.1
USC00203188,"GLENNIE 2 SE, MI US",Alcona,44.5358,-83.7022,272.5,2010,5,15.6,-2.2,30.6,4200.1,13.4,20.9,5.9
USC00203188,"GLENNIE 2 SE, MI US",Alcona,44.5358,-83.7022,272.5,2010,6,33.6,3.9,30,4251,17.2,23.3,11.2
USC00203188,"GLENNIE 2 SE, MI US",Alcona,44.5358,-83.7022,272.5,2010,7,112.4,6.1,31.1,8.9,20.6,26.6,14.6
USC00203188,"GLENNIE 2 SE, MI US",Alcona,44.5358,-83.7022,272.5,2010,8,180.3,6.1,31.7,26.7,19.9,26.4,13.5
USC00203188,"GLENNIE 2 SE, MI US",Alcona,44.5358,-83.7022,272.5,2010,9,193.7,0,30.6,190.5,13.3,19.6,7
USC00203188,"GLENNIE 2 SE, MI US",Alcona,44.5358,-83.7022,272.5,2010,10,193.7,-3.3,25,487.5,8.8,15.8,1.7
USC00203188,"GLENNIE 2 SE, MI US",Alcona,44.5358,-83.7022,272.5,2010,11,193.7,-7.8,15.6,964.9,1.9,7.4,-3.7
USC00203188,"GLENNIE 2 SE, MI US",Alcona,44.5358,-83.7022,272.5,2010,12,193.7,-17.2,10,1713.1,-5.8,-2.4,-9.2
USC00203188,"GLENNIE 2 SE, MI US",Alcona,44.5358,-83.7022,272.5,2015,1,0,-26.1,2.8,2737.8,-10.4,-4.6,-16.2
USC00203188,"GLENNIE 2 SE, MI US",Alcona,44.5358,-83.7022,272.5,2015,2,0,-33.9,2.2,3645,-15.3,-8.1,-22.4
USC00203188,"GLENNIE 2 SE, MI US",Alcona,44.5358,-83.7022,272.5,2015,3,0,-23.9,15,4332.1,-3.8,2.9,-10.5
USC00203188,"GLENNIE 2 SE, MI US",Alcona,44.5358,-83.7022,272.5,2015,4,0,-10,22.2,4746.1,4.5,11.4,-2.3
USC00203188,"GLENNIE 2 SE, MI US",Alcona,44.5358,-83.7022,272.5,2015,5,3.4,-2.2,28.3,4933.6,12.4,20.2,4.6
USC00203188,"GLENNIE 2 SE, MI US",Alcona,44.5358,-83.7022,272.5,2015,6,7.3,1.1,26.1,5038.1,15,22.1,7.9
USC00203188,"GLENNIE 2 SE, MI US",Alcona,44.5358,-83.7022,272.5,2015,7,47,5,31.7,44.3,18.2,25.7,10.7
USC00203188,"GLENNIE 2 SE, MI US",Alcona,44.5358,-83.7022,272.5,2015,8,76.8,7.2,30.6,90.4,17.8,23.8,11.8
USC00203188,"GLENNIE 2 SE, MI US",Alcona,44.5358,-83.7022,272.5,2015,9,106.6,3.9,30.6,168.8,16.7,22.9,10.5
USC00203188,"GLENNIE 2 SE, MI US",Alcona,44.5358,-83.7022,272.5,2015,10,106.6,-4.4,23.9,496.2,7.8,13.4,2.1
USC00203188,"GLENNIE 2 SE, MI US",Alcona,44.5358,-83.7022,272.5,2015,11,106.6,-11.7,22.2,930.4,3.9,9.6,-1.9
USC00203188,"GLENNIE 2 SE, MI US",Alcona,44.5358,-83.7022,272.5,2015,12,106.6,-7.8,14.4,1450.3,1.6,5.4,-2.3
USC00203188,"GLENNIE 2 SE, MI US",Alcona,44.5358,-83.7022,272.5,2020,1,0,-18.9,6.7,2421,-3.4,-0.2,-6.6
USC00203188,"GLENNIE 2 SE, MI US",Alcona,44.5358,-83.7022,272.5,2020,2,0,-24.4,7.8,3140.1,-6.5,-1.1,-11.8
